frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,6,False,False,,,
00255,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,6,False,False,,,
00270,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,6,False,False,,,
00285,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00300,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00315,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00330,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00345,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00360,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,7,False,False,,,
00375,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,8,False,False,,,
00390,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,8,False,False,,,
00405,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,8,False,False,,,
00420,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,8,False,False,,,
00435,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,8,False,False,,,
00450,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,9,False,False,,,
00465,Fireball,30.0,The Log,97.0,Ice Spirit,54.0,Knight,58.0,,,,9,False,False,,,
00480,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,Ice Spirit,54.0,3.0,8,True,True,,Ice Spirit,1.0
00495,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,8,False,False,,,
00510,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,8,False,False,,,
00525,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,8,False,False,,,
00540,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,9,False,False,,,
00555,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,9,False,False,,,
00570,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,9,False,False,,,
00585,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,9,False,False,,,
00600,Fireball,30.0,The Log,97.0,X,105.0,Knight,58.0,,,,9,False,False,,,
00615,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,Knight,58.0,4.0,7,True,True,,Knight,3.0
00630,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,7,False,False,,,
00645,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,7,False,False,,,
00660,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,7,False,False,,,
00675,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,7,False,False,,,
00690,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,7,False,False,,,
00705,Fireball,30.0,The Log,97.0,X,105.0,Tesla,96.0,,,,8,False,False,,,
