frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00240,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00255,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00270,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00285,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00300,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00315,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00330,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00345,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00360,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00375,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00390,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00405,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00420,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00435,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00450,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00465,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00480,The Log,97.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00495,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,The Log,97.0,1.0,7,True,True,,The Log,2.0
00510,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
00525,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00540,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00555,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00570,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00585,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00600,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
00615,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00630,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00645,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00660,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00675,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00690,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
00705,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,10,False,False,,,
00720,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,10,False,False,,,
00735,X,105.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,10,False,False,,,
00750,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,X,105.0,1.0,4,True,True,,X,6.0
00765,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,4,False,False,,,
00780,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,4,False,False,,,
00795,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,4,False,False,,,
00810,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,4,False,False,,,
00825,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,4,False,False,,,
00840,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,5,False,False,,,
00855,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,5,False,False,,,
00870,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,5,False,False,,,
00885,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,5,False,False,,,
00900,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,5,False,False,,,
00915,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00930,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00945,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00960,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00975,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
00990,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
01005,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01020,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01035,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01050,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01065,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01080,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01095,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01110,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01125,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01140,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01155,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01170,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
01185,Ice Wizard,55.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
01200,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,Ice Wizard,55.0,1.0,6,True,True,,Ice Wizard,3.0
01215,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
01230,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
01245,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,6,False,False,,,
01260,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01275,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01290,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01305,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01320,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,7,False,False,,,
01335,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01350,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01365,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01380,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01395,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01410,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01425,Skeletons,93.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,9,False,False,,,
01440,Rocket,83.0,Tesla,96.0,Knight,58.0,Tornado,100.0,Skeletons,93.0,1.0,8,True,True,,Skeletons,1.0
01455,Rocket,83.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01470,Rocket,83.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01485,Rocket,83.0,Tesla,96.0,Knight,58.0,Tornado,100.0,,,,8,False,False,,,
01500,Rocket,83.0,Tesla,96.0,The Log,97.0,Tornado,100.0,Knight,58.0,3.0,5,True,True,,Knight,3.0
01515,Rocket,83.0,X,105.0,The Log,97.0,Tornado,100.0,Tesla,96.0,2.0,2,True,True,,Tesla,4.0
01530,Rocket,83.0,X,105.0,The Log,97.0,Tornado,100.0,,,,2,False,False,,,
01545,Rocket,83.0,X,105.0,The Log,97.0,Tornado,100.0,,,,2,False,False,,,
01560,Rocket,83.0,X,105.0,The Log,97.0,Tornado,100.0,,,,2,False,False,,,
