frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00255,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,6,False,False,0.0,0.0
00270,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,6,False,False,0.0,0.0
00285,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,6,False,False,0.0,0.0
00300,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00315,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00330,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00345,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00360,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00375,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00390,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00405,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00420,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00435,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00450,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00465,Wall Breakers,102.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,9,False,False,0.0,0.0
00480,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,Wall Breakers,102.0,1.0,7,True,True,2.0,2.0
00495,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00510,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00525,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00540,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,7,False,False,0.0,0.0
00555,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00570,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00585,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00600,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00615,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,8,False,False,0.0,0.0
00630,Magic Archer,62.0,Bomb Tower,12.0,Arrows,2.0,Archers,109.0,,,,9,False,False,0.0,0.0
00645,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,Arrows,2.0,3.0,6,True,True,3.0,3.0
00660,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,6,False,False,0.0,0.0
00675,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,6,False,False,0.0,0.0
00690,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,6,False,False,0.0,0.0
00705,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,6,False,False,0.0,0.0
00720,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00735,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00750,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00765,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00780,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00795,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,7,False,False,0.0,0.0
00810,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,8,False,False,0.0,0.0
00825,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,8,False,False,0.0,0.0
00840,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,8,False,False,0.0,0.0
00855,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,8,False,False,0.0,0.0
00870,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,8,False,False,0.0,0.0
00885,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,9,False,False,0.0,0.0
00900,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,9,False,False,0.0,0.0
00915,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,9,False,False,0.0,0.0
00930,Magic Archer,62.0,Bomb Tower,12.0,Bats,9.0,Archers,109.0,,,,9,False,False,0.0,0.0
00945,Magic Archer,62.0,Bomb Tower,12.0,Wall Breakers,102.0,Archers,109.0,Bats,9.0,3.0,7,True,True,2.0,2.0
