frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,6,,,
00255,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,6,,,
00270,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,6,,,
00285,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,6,,,
00300,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,7,,,
00315,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,7,,,
00330,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,7,,,
00345,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,7,,,
00360,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,7,,,
00375,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00390,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00405,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00420,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00435,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00450,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,8,,,
00465,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00480,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00495,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00510,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00525,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00540,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,9,,,
00555,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00570,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00585,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00600,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00615,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00630,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00645,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00660,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00675,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00690,Electro Wizard,24.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00705,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00720,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
00735,Royal Hogs,87.0,Earthquake,20.0,Hunter,52.0,Ice Golem,53.0,,,,10,,,
