frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,6,,,
00255,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,6,,,
00270,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00285,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00300,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00315,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00330,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00345,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,7,,,
00360,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00375,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00390,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00405,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00420,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00435,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,8,,,
00450,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00465,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00480,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00495,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00510,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00525,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00540,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00555,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00570,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00585,Skeletons,93.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00600,Electro Wizard,24.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00615,Lightning,60.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,10,,,
00630,Lightning,60.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00645,Lightning,60.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00660,Lightning,60.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00675,Lightning,60.0,Prince,78.0,Barbarian Barrel,6.0,Zappies,107.0,,,,9,,,
00690,Lightning,60.0,Prince,78.0,Electro Spirit,23.0,Zappies,107.0,,,,8,,,
00705,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,8,,,
00720,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,8,,,
00735,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,8,,,
00750,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,8,,,
00765,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,8,,,
00780,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,9,,,
00795,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,9,,,
00810,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,9,,,
00825,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,9,,,
00840,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,9,,,
00855,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,10,,,
00870,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,10,,,
00885,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,10,,,
00900,Lightning,60.0,Prince,78.0,Musketeer,73.0,Zappies,107.0,,,,10,,,
00915,Lightning,60.0,Prince,78.0,X,105.0,Zappies,107.0,,,,6,,,
