frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,6,,,
00255,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,6,,,
00270,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,6,,,
00285,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00300,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00315,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00330,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00345,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00360,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,7,,,
00375,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,8,,,
00390,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,8,,,
00405,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,8,,,
00420,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,8,,,
00435,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,8,,,
00450,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00465,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00480,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00495,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00510,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00525,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,9,,,
00540,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00555,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00570,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00585,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00600,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00615,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00630,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00645,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00660,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00675,Tornado,100.0,X,105.0,Skeletons,93.0,Tesla,96.0,,,,10,,,
00690,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,9,,,
00705,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,9,,,
00720,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,9,,,
00735,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,9,,,
00750,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,9,,,
00765,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00780,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00795,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00810,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00825,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00840,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00855,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00870,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00885,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00900,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00915,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00930,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00945,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00960,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00975,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
00990,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
01005,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
01020,Tornado,100.0,X,105.0,Ice Wizard,55.0,Tesla,96.0,,,,10,,,
01035,Tornado,100.0,X,105.0,Ice Wizard,55.0,Wall Breakers,102.0,,,,6,,,
01050,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,6,,,
01065,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,6,,,
01080,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,6,,,
01095,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,6,,,
01110,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,6,,,
01125,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,7,,,
01140,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,7,,,
01155,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,7,,,
01170,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,7,,,
01185,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,7,,,
01200,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01215,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01230,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01245,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01260,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01275,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,8,,,
01290,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,9,,,
01305,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,9,,,
01320,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,9,,,
01335,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,9,,,
01350,Tornado,100.0,X,105.0,Ice Wizard,55.0,Knight,58.0,,,,9,,,
01365,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01380,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01395,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01410,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01425,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01440,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,4,,,
01455,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,5,,,
01470,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,5,,,
01485,Tornado,100.0,The Log,97.0,Ice Wizard,55.0,Knight,58.0,,,,5,,,
01500,Guards,49.0,The Log,97.0,,,,,,,,2,,,
01515,,,The Log,97.0,,,,,,,,2,,,
01530,,,The Log,97.0,,,,,,,,2,,,
01545,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,3,,,
01560,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,3,,,
01575,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,3,,,
01590,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,3,,,
01605,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,3,,,
01620,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01635,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01650,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01665,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01680,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01695,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,4,,,
01710,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,5,,,
01725,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,5,,,
01740,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,5,,,
01755,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,5,,,
01770,Tornado,100.0,The Log,97.0,,,Knight,58.0,,,,5,,,
