frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,predicted_elixirConsumed
00240,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,6,False,False,0.0,0.0
00255,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,6,False,False,0.0,0.0
00270,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00285,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00300,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00315,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00330,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00345,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00360,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00375,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00390,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00405,Skeletons,93.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00420,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,Skeletons,93.0,1.0,7,True,True,1.0,1.0
00435,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,7,False,False,0.0,0.0
00450,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00465,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00480,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00495,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00510,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,8,False,False,0.0,0.0
00525,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00540,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00555,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00570,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00585,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00600,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,9,False,False,0.0,0.0
00615,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00630,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00645,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00660,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00675,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00690,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
00705,Knight,58.0,Tesla,96.0,Rocket,83.0,Tornado,100.0,,,,10,False,False,0.0,0.0
