frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00240,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00255,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00270,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,6,False,False,,,
00285,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00300,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00315,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00330,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00345,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,7,False,False,,,
00360,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00375,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00390,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00405,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00420,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00435,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00450,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00465,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00480,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00495,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00510,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00525,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,9,False,False,,,
00540,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00555,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00570,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00585,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00600,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
00615,Sparky,94.0,Lightning,60.0,Giant Snowball,38.0,Barbarian Barrel,6.0,,,,10,False,False,,,
