frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00270,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00285,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00300,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00315,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00330,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00345,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00360,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00375,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00390,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00405,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00420,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00435,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00450,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00465,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00480,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00495,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00510,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00525,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00540,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00555,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00570,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00585,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00600,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00615,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00630,Barbarian Barrel,6.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,10,,,
00645,Firecracker,31.0,Wall Breakers,102.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00660,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00675,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00690,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00705,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,6,,,
00720,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00735,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00750,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00765,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00780,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00795,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00810,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00825,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00840,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00855,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00870,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
00885,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00900,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00915,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00930,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00945,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00960,Firecracker,31.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
00975,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
00990,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
01005,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
01020,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
01035,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
01050,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,7,,,
01065,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01080,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01095,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01110,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01125,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,8,,,
01140,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01155,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01170,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01185,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01200,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01215,Skeletons,93.0,Bats,9.0,Miner,66.0,Earthquake,20.0,,,,9,,,
01230,Skeletons,93.0,Bats,9.0,Witch,103.0,Earthquake,20.0,,,,7,,,
01245,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,7,,,
01260,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,7,,,
01275,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,7,,,
01290,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,7,,,
01305,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,7,,,
01320,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
01335,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
01350,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
01365,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
01380,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
01395,Skeletons,93.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,9,,,
01410,Barbarian Barrel,6.0,Bats,9.0,Electro Spirit,23.0,Earthquake,20.0,,,,8,,,
